;;;;;Energia;Macronutrientes;;;A.G. Saturados;A.G. Insaturados;;;Fibra   ;;;Macrominerales;;;;;Oligoelementos;;;;;Vit. Liposolubles;;;;Vit. Hidrosolubles;;;;;;;;Verificacion;;;;;;;
Grupo alimentario;#;Alimento;Cantidad(g/mL);Medida casera;Kcal;CHO(g);Proteina(g);Grasa(g);A.G.S(g);A.G.M(g);A.G.P(g);Colesterol (mg);Fibra soluble;Fibra insoluble;Fibra total;Calcio(Ca)(mg);Fosforo(P)(mg);Sodio(Na)(mg);Potasio(K)(mg);Magnesio(Mg)(mg);Hierro(Fe)(mg);Zinc(Zn) (mg);Cobre(Cu)(mg);Manganeso(Mn)(mg);Selenio(Se)(mcg);Vit. E(mg);Vit.K(mcg);Vit.D(UI);Vit.A(ER); Vit.B1(mg);Vit.B2(mg);Vit.B3(mg);Vit.B5(mg);Vit.B6(mg);Vit.B9(mcg);Vit.B12(mcg);Vit.C(mg);Aprobado;;;;;;;
C22;50;Lomo de cerdo magro;105;3 1/2 onzas;150;0,0;22,5;6,0;2,1;2,7;0,6;62,0;0,0;0,0;0,0;17,9;221,6;54,6;408,5;24,2;0,8;1,9;0,1;0,0;37,9;0,3;0,0;0,0;2,1;1,0;0,3;5,2;0,8;0,6;5,3;0,7;1,1;;;;;;;;
C23;51;Lomo de cerdo grasa aprox.12 %;75;2 1/2 onzas;150;0,0;14,8;9,5;3,3;4,2;1,0;47,3;0,0;0,0;0,0;13,5;147,8;37,5;267,0;15,8;0,6;1,3;0,1;0,0;0,0;0,0;0,0;0,0;1,5;0,7;0,2;3,5;0,5;0,4;3,8;0,4;0,8;;;;;;;;
C24;52;Lomo de cerdo grasa aprox.16 %;70;2 1/2 onzas;150;0,0;12,4;11,1;3,8;4,9;1,2;49,7;0,0;0,0;0,0;17,5;122,5;44,1;219,1;12,6;0,8;2,1;0,1;0,0;0,0;0,0;0,0;0,0;1,4;0,6;0,2;2,6;0,6;0,0;4,2;0,6;0,7;;;;;;;;
C25;53;Chuleta de cerdo magra;60;2 onzas;150;0,0;13,3;3,6;1,2;1,6;0,4;33,0;0,0;0,0;0,0;12,6;129,0;27,0;252,6;13,8;0,5;1,0;0,0;0,0;20,2;0,2;0,0;0,0;1,2;0,6;0,2;3,5;0,4;0,3;1,8;0,4;0,0;;;;;;;;
C26;54;Chuleta de cerdo grasa aprox.14%;45;1,5 onzas;150;0,0;9,1;6,1;2,1;2,7;0,7;27,0;0,0;0,0;0,0;10,8;90,0;18,9;172,8;9,0;0,3;0,7;0,0;0,0;0,0;0,0;0,0;0,0;0,9;0,4;0,1;2,4;0,3;0,2;1,4;0,3;0,0;;;;;;;;
C27;55;Pernil cerdo magro;70;2 1/2 onzas aprox.;150;0,0;14,4;3,9;1,4;1,8;0,4;42,0;0,0;0,0;0,0;4,9;158,2;46,9;238,0;17,5;0,6;1,6;0,1;0,0;0,0;0,0;0,0;0,0;1,4;0,6;0,2;3,2;0,6;0,4;3,5;0,5;0,7;;;;;;;;
C28;56;Pernil de cerdo grasa aprox.20%;45;1,5 onzas;150;0,0;7,7;9,5;3,3;4,2;1,0;30,6;0,0;0,0;0,0;2,7;86,4;24,8;128,3;8,6;0,4;0,9;0,0;0,0;0,0;0,0;0,0;0,0;0,9;0,3;0,1;1,8;0,3;0,2;1,8;0,3;0,5;;;;;;;;
C29;57;Pierna de cerdo magra;75;2 1/2 onzas;150;0,0;15,9;3,9;1,3;1,8;0,4;45,8;0,0;0,0;0,0;4,5;172,5;51,8;282,0;18,8;0,7;1,5;0,1;0,0;26,9;0,2;0,0;0,0;1,5;0,8;0,2;3,7;0,5;0,4;2,3;0,5;0,8;;;;;;;;
C30;58;Pierna de cerdo, grasa aprox.16 %;55;2 onzas aprox.;150;0,0;10,3;8,6;3,0;3,8;0,9;36,3;0,0;0,0;0,0;2,8;113,9;33,6;183,2;11,6;0,4;1,0;0,0;0,0;0,0;0,0;0,0;0,0;1,1;0,5;0,1;2,4;0,3;0,2;1,7;0,4;0,6;;;;;;;;
C31;59;Gallina entera;30;1 onza;150;0,0;5,4;7,5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;4,2;60,0;0,0;0,0;0,0;0,5;0,0;0,0;0,0;4,3;0,1;0,0;0,0;0,0;0,0;0,0;2,4;0,0;0,0;0,0;0,0;0,0;;;;;;;;
C32;60;Contrasmuslo pollo carne y piel;55;1 unidad muy pequeña;150;0,0;9,5;8,4;2,4;3,5;1,8;46,2;0,0;0,0;0,0;5,5;79,8;41,8;105,6;11,0;0,6;0,9;0,0;0,0;7,1;0,0;0,0;0,0;23,1;0,0;0,1;3,0;0,6;0,1;3,9;0,2;1,1;;;;;;;;
C33;61;Contramuslo pollo carne sin piel;70;1 unidad pequeña;150;0,0;13,8;2,7;0,7;0,9;0,7;58,1;0,0;0,0;0,0;7,0;117,6;60,2;161,7;16,8;0,7;1,3;0,1;0,0;0,0;0,0;0,0;0,0;14,0;0,1;0,1;4,4;0,9;0,2;7,0;0,3;2,1;;;;;;;;
C34;62;Muslo pollo carne y piel;60;1 unidad muy pequeña;150;0,0;10,9;7,3;2,1;2,9;1,6;49,8;0,0;0,0;0,0;6,0;89,4;47,4;118,8;12,6;0,6;1,1;0,0;0,0;7,9;0,0;0,0;0,0;21,6;0,0;0,1;3,2;0,7;0,2;6,6;0,2;1,8;;;;;;;;
C35;63;Muslo pollo carne sin piel;70;2 1/2 onzas aprox.;150;0,0;14,1;2,7;0,7;0,8;0,7;56,0;0,0;0,0;0,0;7,7;116,9;60,2;160,3;16,1;0,7;1,4;0,0;0,0;9,5;0,0;0,0;0,0;12,6;0,1;0,1;4,3;0,8;0,2;7,0;0,3;2,1;;;;;;;;
C36;64;Pechuga pollo carne y piel;70;2 1/2 onzas aprox.;150;0,0;14,6;6,5;1,9;2,7;1,4;44,8;0,0;0,0;0,0;7,7;121,8;44,1;154,0;17,5;0,5;0,6;0,0;0,0;11,6;0,0;0,0;0,0;16,8;0,0;0,1;6,9;0,6;0,4;2,8;0,2;0,7;;;;;;;;
C37;65;Pechuga pollo carne sin piel;90;3 onzas;150;0,0;20,8;1,1;0,3;0,3;0,3;52,2;0,0;0,0;0,0;9,9;176,4;58,5;229,5;25,2;0,6;0,7;0,0;0,0;16,0;0,3;0,0;0,0;5,4;0,1;0,1;10,1;0,7;0,5;3,6;0,3;0,9;;;;;;;;
C38;66;Menudencias de pollo;120;1/4 libra;150;2,2;21,5;5,4;1,6;1,3;1,3;314,4;0,0;0,0;0,0;12,0;236,4;92,4;273,6;21,6;7,1;4,0;0,3;0,2;66,2;1,6;0,0;0,0;3184,8;0,1;1,2;8,0;3,9;0,5;414,0;13,7;19,2;;;;;;;;
